## source_type,ontario_grade
## band_count,1
## age_range_hint,ages 12-13 (Ontario Ministry of Education K-12 schedule)
## detection_confidence,high
## progression_philosophy,Grade-level expectations published at grade-level granularity. Each grade's curriculum is designed to be met by learners in that grade by year's end. Ontario does not define sub-grade progression bands within curriculum documents; within-year sequencing is a school and teacher decision. Single-band output reflects the source's own granularity.
## band_detail | Grade 7,age_range=ages 12-13,grade_year=Grade 7,"Grade 7 learners are in the first year of the Intermediate level (Grades 7-8). In History, they examine social, political, economic, and legal changes in Canada between 1713 and 1850, including New France and British North America. They apply disciplinary historical-thinking concepts (Continuity and Change, Cause and Consequence, Historical Perspective, Historical Significance) and inquiry skills to analyse primary and secondary sources."

competency_cluster,lt_id,lt_name,lt_definition,knowledge_type,assessment_route,lt_stability,kud_items_covered,prerequisites,grade_7,band_statements_stability,band_gate_status
cluster_01: Historical Evidence Analysis and Source Evaluation,cluster_01_lt_01,Evaluating Source Credibility and Perspective,"I can assess the credibility of historical sources by analysing perspective, bias, authenticity, purpose, context, and author expertise.",Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0083_item_01; blk_0191_item_01; blk_0192_item_01,,I can evaluate the credibility of a historical source by identifying the author's perspective and purpose.,stable,PASS
cluster_01: Historical Evidence Analysis and Source Evaluation,cluster_01_lt_02,Analysing Evidence from Diverse Source Types,I can gather and critically analyse evidence from primary sources of different types to form and justify conclusions about historical events and issues.,Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0004_item_01; blk_0078_item_01; blk_0080_item_01; blk_0091_item_01; blk_0093_item_01; blk_0190_item_01,Evaluating Source Credibility and Perspective,I can analyse primary sources of different types to identify evidence and explain what it reveals about a historical event.,band_statements_unstable,PASS
cluster_02: Cartographic Analysis and Map Use,cluster_02_lt_01,Interpreting Maps to Analyse Spatial Patterns,"I can analyse maps to identify and explain historical patterns of displacement, settlement, and spatial relationships.",Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0039_item_02; blk_0086_item_01; blk_0086_item_02; blk_0088_item_01; blk_0090_item_01; blk_0193_item_02; blk_0194_item_03,,I can analyse maps to identify and explain patterns of historical settlement and displacement.,stable,PASS
cluster_02: Cartographic Analysis and Map Use,cluster_02_lt_02,Creating and Designing Maps for Historical Investigation,"I can create maps using paper or digital tools to represent historical events, displacement patterns, and settlement trends.",Type 1,rubric_with_clear_criteria,lt_set_unstable,blk_0039_item_01; blk_0039_item_03; blk_0086_item_03; blk_0193_item_02; blk_0194_item_02; blk_0199_item_04,,I can create maps using digital or paper tools to represent historical events and settlement patterns.,stable,PASS
cluster_02: Cartographic Analysis and Map Use,cluster_02_lt_03,Justifying Map Design Choices for Historical Inquiry,"I can identify and justify what information and map types are needed to represent historical alliances, conflicts, and spatial relationships.",Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0089_item_01; blk_0194_item_04; blk_0197_item_01,,I can justify why specific map types and information effectively represent historical alliances and conflicts.,stable,PASS
cluster_03: Contextual Understanding and Anti-Presentism,cluster_03_lt_01,Understanding Historical Actors in Context,"The student sustains a default orientation to understand historical actors' and communities' decisions, perspectives, and actions within their own context's values, beliefs, knowledge, and constraints, resisting presentism across all historical encounters.",Type 3,multi_informant_observation,stable,blk_0044_item_03; blk_0062_item_02; blk_0066_item_02; blk_0155_item_02; blk_0168_item_02; blk_0173_item_01; blk_0192_item_02; blk_0206_item_02; blk_0223_item_02; blk_0228_item_02,,,,N/A (Type 3)
cluster_03: Contextual Understanding and Anti-Presentism,cluster_03_lt_02,Attending to Perspective and Change Over Time,"The student sustains an orientation to notice continuity and change across multiple dimensions, seek diverse perspectives including Indigenous voices, question whose perspectives are represented in sources, and consult multiple sources by default when examining historical material.",Type 3,multi_informant_observation,stable,blk_0044_item_02; blk_0081_item_01; blk_0082_item_01; blk_0084_item_01; blk_0088_item_02; blk_0258_item_02,,,,N/A (Type 3)
cluster_05: Displacement and Forced Migration in Canadian History,cluster_05_lt_01,Analysing Causes and Contexts of Displacement,"I can analyse the causes, contexts, and multiple perspectives underlying displacement events for various groups in Canadian history between 1713 and 1850.",Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0056_item_01; blk_0058_item_01; blk_0064_item_01; blk_0169_item_01; blk_0170_item_03; blk_0171_item_01; blk_0172_item_01,,I can explain the causes and different viewpoints surrounding displacement of groups in Canadian history.,stable,PASS
cluster_05: Displacement and Forced Migration in Canadian History,cluster_05_lt_02,Evaluating Responses and Comparative Consequences,I can evaluate how displaced groups responded to displacement and compare displacement experiences across different historical periods and communities.,Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0056_item_02; blk_0062_item_01; blk_0171_item_01; blk_0172_item_01,,I can compare how different displaced groups responded to forced migration and identify similarities in their experiences.,band_statements_unstable,PASS
cluster_05: Displacement and Forced Migration in Canadian History,cluster_05_lt_03,Understanding Displacement Narratives and Contexts,"I can identify and describe the displacement experiences of Indigenous peoples, Acadians, Loyalists, enslaved people, and immigrants, and explain the social attitudes and conditions that shaped these experiences.",Type 1,rubric_with_clear_criteria,lt_set_unstable,blk_0048_item_01; blk_0059_item_01; blk_0170_item_01; blk_0170_item_02,,I can describe the displacement experiences of different groups in Canadian history and explain the social conditions that caused them.,stable,PASS
cluster_06: Continuity and Change Across Time Periods,cluster_06_lt_01,Analysing Continuity and Change Across Dimensions,"I can analyse similarities and differences in social, environmental, and lived experiences across different historical periods and identify key reasons for change.",Type 2,reasoning_quality_rubric,stable,blk_0046_item_01; blk_0054_item_01; blk_0055_item_01; blk_0057_item_02,Identifying Historical Sources and Contexts,I can identify similarities and differences in how people lived across historical periods and explain reasons for major changes.,stable,PASS
cluster_06: Continuity and Change Across Time Periods,cluster_06_lt_02,Identifying Historical Sources and Contexts,"I can identify types and sources of evidence from specific historical periods, including Indigenous knowledge and practices.",Type 1,rubric_with_clear_criteria,stable,blk_0057_item_01,,I can identify and describe different types of historical evidence from specific time periods and cultures.,stable,PASS
cluster_07: Multiple Perspectives and Historical Interpretation,cluster_07_lt_01,Analysing Multiple Perspectives on Historical Events,"I can analyse historical events by identifying multiple perspectives held by different groups, distinguishing their interests and reasoning, and evaluating the validity and limitations of each viewpoint.",Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0071_item_01; blk_0096_item_01; blk_0102_item_02; blk_0106_item_02; blk_0111_item_01; blk_0113_item_03; blk_0115_item_02; blk_0116_item_02; blk_0119_item_02; blk_0120_item_02; blk_0121_item_02; blk_0132_item_02; blk_0143_item_02; blk_0144_item_02; blk_0158_item_01; blk_0159_item_01; blk_0161_item_01; blk_0166_item_01; blk_0167_item_01; blk_0168_item_01; blk_0183_item_01; blk_0184_item_01; blk_0199_item_02; blk_0202_item_01; blk_0203_item_01; blk_0206_item_01; blk_0209_item_01; blk_0225_item_01; blk_0226_item_01; blk_0227_item_01; blk_0228_item_01; blk_0229_item_02; blk_0230_item_01; blk_0235_item_01; blk_0236_item_01; blk_0237_item_01; blk_0241_item_01; blk_0242_item_01; blk_0243_item_01; blk_0248_item_01; blk_0249_item_01; blk_0250_item_01; blk_0256_item_01; blk_0257_item_02; blk_0258_item_01,,I can identify and compare different perspectives on a historical event and explain why groups held different viewpoints.,stable,PASS
cluster_07: Multiple Perspectives and Historical Interpretation,cluster_07_lt_02,Gathering and Interpreting Evidence Across Perspectives,"I can formulate investigative questions, locate and gather evidence from diverse primary and secondary sources representing different communities, and use graphic organisers to compare and interpret multiple perspectives on historical events.",Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0072_item_01; blk_0073_item_01; blk_0074_item_01; blk_0077_item_01; blk_0091_item_02; blk_0091_item_03; blk_0102_item_01; blk_0173_item_02; blk_0177_item_01; blk_0182_item_01; blk_0186_item_01; blk_0187_item_01; blk_0198_item_01; blk_0199_item_03; blk_0244_item_01,,I can gather evidence from multiple sources and compare different perspectives on a historical event.,stable,PASS
"cluster_08: Factual Knowledge of Key Events, Treaties, and Policies",cluster_08_lt_01,"Identifying Key Events, Treaties, and Policies","I can identify and describe significant events, treaties, and political-legal changes that shaped Canada between 1713 and 1850.",Type 1,rubric_with_clear_criteria,stable,blk_0104_item_01; blk_0106_item_01; blk_0107_item_01; blk_0110_item_01; blk_0113_item_01; blk_0113_item_02; blk_0114_item_01; blk_0115_item_01; blk_0117_item_01; blk_0193_item_01; blk_0194_item_01; blk_0199_item_01; blk_0210_item_01; blk_0229_item_01; blk_0232_item_01,,"I can identify and describe significant events, treaties, and policies that shaped Canada between 1713 and 1850.",stable,PASS
"cluster_08: Factual Knowledge of Key Events, Treaties, and Policies",cluster_08_lt_02,Understanding Social-Economic Developments and Historical Actors,"I can describe social and economic developments, key historical figures and groups, and their roles in shaping Canada between 1713 and 1850.",Type 1,rubric_with_clear_criteria,stable,blk_0112_item_01; blk_0112_item_02; blk_0116_item_01; blk_0118_item_01; blk_0119_item_01; blk_0120_item_01; blk_0121_item_01; blk_0127_item_01; blk_0130_item_01; blk_0132_item_01; blk_0141_item_01; blk_0143_item_01; blk_0144_item_01; blk_0146_item_01; blk_0160_item_01; blk_0163_item_01; blk_0164_item_01; blk_0164_item_02; blk_0165_item_01; blk_0223_item_01; blk_0238_item_01; blk_0254_item_01,,I can describe key social and economic developments in Canada between 1713 and 1850 and explain how historical figures and groups influenced these changes.,band_statements_unstable,PASS
"cluster_08: Factual Knowledge of Key Events, Treaties, and Policies",cluster_08_lt_03,Analysing Historical Causation and Turning Points,"I can analyse why major events are seen as turning points, distinguishing immediate triggers from underlying conditions.",Type 2,reasoning_quality_rubric,stable,blk_0104_item_02,"Identifying Key Events, Treaties, and Policies",I can analyse why major historical events are turning points by distinguishing immediate causes from underlying conditions.,stable,PASS
cluster_09: Historical Communication and Vocabulary,cluster_09_lt_01,Using Historical Vocabulary Accurately,I can use historical vocabulary appropriately when communicating about colonial North America and early Canadian history.,Type 1,rubric_with_clear_criteria,stable,blk_0097_item_01; blk_0210_item_02,,I can use historical vocabulary accurately when describing events and people from colonial North America and early Canadian history.,stable,PASS
cluster_09: Historical Communication and Vocabulary,cluster_09_lt_02,Communicating Historical Findings to Audiences,I can communicate the results of historical inquiries using formats and vocabulary appropriate for specific audiences and historical contexts.,Type 2,reasoning_quality_rubric,stable,blk_0097_item_02; blk_0210_item_02,Using Historical Vocabulary Accurately,I can communicate historical findings using appropriate vocabulary and formats for my intended audience.,stable,PASS
"cluster_10: Fur Trade, Economic Systems, and Social Change",cluster_10_lt_01,Analysing Fur Trade Economic Competition,"I can analyse how fur trade competition shaped economic opportunities and constraints for Indigenous peoples, Métis, and settler communities.",Type 2,reasoning_quality_rubric,stable,blk_0122_item_01,,"I can analyse how fur trade competition created different economic opportunities and challenges for Indigenous peoples, Métis, and settlers.",stable,PASS
"cluster_10: Fur Trade, Economic Systems, and Social Change",cluster_10_lt_02,Understanding Social Structures and Cultural Adaptation,"I can explain how social structures and cultural practices, including kinship systems, reflected and negotiated relationships between Indigenous, Métis, and European communities.",Type 1,rubric_with_clear_criteria,stable,blk_0126_item_01,,"I can explain how kinship systems and cultural practices shaped relationships between Indigenous, Métis, and European communities.",stable,PASS
"cluster_11: Immigration, Settlement, and Community Formation",cluster_11_lt_01,Analysing Immigrant Settlement Roles,I can analyse how immigrant groups played different roles in Canadian settlement across regions and historical periods.,Type 2,reasoning_quality_rubric,stable,blk_0257_item_01,,I can analyse how different immigrant groups contributed to Canadian settlement in specific regions and time periods.,stable,PASS
"cluster_11: Immigration, Settlement, and Community Formation",cluster_11_lt_02,Evaluating Immigrant Contributions and Impacts,"I can evaluate the contributions and impacts of immigrant and settler groups on Canadian heritage, identities, and Indigenous communities.",Type 2,reasoning_quality_rubric,stable,blk_0257_item_01,,I can describe how immigrant and settler groups have shaped Canadian communities and influenced Indigenous peoples.,stable,PASS
