competency_cluster,lt_id,lt_name,knowledge_type,stability,gate_passed,gate_failures,competent_framing_flag,competent_framing_judge_rationale,propositional_thin_flag,no_evidence,emerging,developing,competent,extending,prerequisite_edges,diagnostic
cluster_15: Understanding Harmful Practices and Physical Harms,cluster_15_lt_03,Accessing Support for Harmful Behaviours,Type 1,rubric_unstable,FAIL,single_construct,pass,The descriptor directly states the learner can describe and identify the required elements without hedging language or positioning it as incomplete.,False,No attempt to describe support-seeking for harmful behaviours.,"With support, identifies some help sources but provides incomplete or inaccurate descriptions.",Describes some support options for harmful behaviours but misses key reporting procedures or sources.,Describes how to seek support for worrying or abusive behaviour and identifies where to report abuse.,Explains support-seeking strategies and evaluates effectiveness of different reporting pathways for various situations.,cluster_15_lt_01 [ontological_prerequisite/high] Must identify harmful practices before knowing how to seek support for them.; cluster_12_lt_02 [pedagogical_sequencing/medium] General help-seeking skills typically established before specific harmful behaviour support.,
cluster_16: Healthy Sexual Relationships and Decision-Making,cluster_16_lt_01,Understanding Sexual Consent and Considerations,Type 1,rubric_unstable,PASS,,pass,The descriptor declares the capability as demonstrated independently and can stand alone as evidence that the learning target is met.,False,No attempt to explain consent or identify considerations.,"With support, identifies basic consent concepts but explanations are incomplete or inaccurate.",Explains consent basics independently but misses key factors people consider before sexual activity.,Explains how sexual consent works and independently identifies multiple factors people consider before sexual activity.,Applies consent understanding to complex scenarios and evaluates nuanced decision-making factors comprehensively.,cluster_02_lt_01 [ontological_prerequisite/high] Understanding healthy relationship foundations including consent is essential before explaining how sexual consent specifically works.; cluster_11_lt_01 [pedagogical_sequencing/medium] Recognising and communicating consent generally provides foundation for understanding sexual consent specifically.,
cluster_16: Healthy Sexual Relationships and Decision-Making,cluster_16_lt_02,Recognising Positive Sexual Relationships and Alternatives,Type 1,rubric_unstable,PASS,,pass,"The descriptor declares the capability as demonstrated accurately and independently, standing alone as evidence that the learning target is met.",False,No attempt to describe positive sexual relationships or alternatives.,"With support, identifies some relationship features but provides incomplete or inaccurate descriptions.",Describes basic positive relationship features but struggles to explain alternatives without sex clearly.,Describes how sexual relationships can be positive and explains relationship options without sex accurately and independently.,Compares multiple relationship models and evaluates how different approaches meet diverse individual needs.,cluster_02_lt_01 [ontological_prerequisite/high] Understanding healthy relationship foundations is essential before describing positive sexual relationships.; cluster_16_lt_01 [pedagogical_sequencing/medium] Understanding sexual consent typically precedes learning about positive sexual relationships.,
cluster_16: Healthy Sexual Relationships and Decision-Making,cluster_16_lt_03,Understanding Kindness and Health in Relationships,Type 1,rubric_unstable,FAIL,observable_verb,pass,The descriptor declares the capability as demonstrated independently without hedging language or positioning it as incomplete.,False,No attempt to explain kindness or health impacts.,"With support, identifies basic relationship concepts but confuses kindness with consent.",Explains that kindness differs from consent but struggles to analyse health impacts clearly.,Explains how kindness extends beyond consent and analyses health impacts of relationship choices independently.,Transfers understanding to complex scenarios and integrates multiple relationship health factors fluently.,cluster_02_lt_01 [ontological_prerequisite/high] Must understand healthy relationship foundations including consent before explaining how kindness extends beyond it.; cluster_11_lt_03 [ontological_prerequisite/high] Must understand that care requires more than consent before analysing how kindness extends beyond consent.; cluster_16_lt_01 [pedagogical_sequencing/medium] Understanding sexual consent provides foundation for analysing relationship choices and their health impacts.,
"cluster_17: Contraception, Pregnancy and Sexual Health",cluster_17_lt_01,Sexual Health Knowledge and Prevention,Type 1,rubric_unstable,PASS,,pass,The descriptor declares the capability as demonstrated independently at the learning target's level of demand without hedging language or positioning it as incomplete.,False,No attempt to describe sexual health information.,"With support, names some contraceptive or STI prevention methods with inaccuracies.",Independently describes some contraceptive options and STI prevention methods but with gaps.,"Accurately describes contraceptive options, pregnancy choices, STI prevention methods, and treatment facts independently.",Describes sexual health information and explains connections between different prevention strategies.,cluster_16_lt_01 [pedagogical_sequencing/medium] Understanding sexual consent typically precedes learning about contraception and sexual health prevention.,
"cluster_17: Contraception, Pregnancy and Sexual Health",cluster_17_lt_02,Accessing Sexual Health Support,Type 1,rubric_unstable,PASS,,pass,The descriptor clearly states the learner can independently and accurately perform the target capability without hedging language or positioning it as incomplete.,True,No attempt to identify sexual health services.,"With support, names some sexual health services but lacks detail about access.",Identifies some sexual health services independently but misses key access information or confidentiality aspects.,"Independently identifies where to access confidential sexual health advice, treatment, and support services accurately.",Identifies comprehensive sexual health services and explains access barriers or alternative pathways.,cluster_17_lt_01 [pedagogical_sequencing/medium] Understanding sexual health basics helps inform what services might be needed.; cluster_12_lt_02 [pedagogical_sequencing/medium] General help-seeking skills provide foundation for accessing specific sexual health support.,
"cluster_17: Contraception, Pregnancy and Sexual Health",cluster_17_lt_03,Sexual Health Information Guidance,Type 2,rubric_unstable,FAIL,observable_verb,pass,The descriptor declares the capability as demonstrated independently at the learning target's level of demand without hedging language or positioning it as incomplete.,False,No attempt to signpost sexual health information sources.,"With support, identifies some sexual health websites but accuracy is questionable.",Independently identifies basic sexual health information sources but lacks evaluation of accuracy.,Independently signposts others toward medically accurate online sexual health information sources to support decision-making.,Evaluates and recommends multiple accurate sources while explaining their specific strengths for different situations.,"cluster_17_lt_01 [ontological_prerequisite/high] Cannot signpost accurate sexual health information without understanding contraception, STI prevention, and treatment facts.; cluster_17_lt_02 [pedagogical_sequencing/medium] Knowing where to access sexual health services helps identify credible information sources.",
cluster_18: Emotional Wellbeing and Mental Health Literacy,cluster_18_lt_01,Communicating About Emotions Effectively,Type 2,stable,FAIL,observable_verb; single_construct,pass,The descriptor declares the capability as fully demonstrated with 'independently communicates' and shows complete mastery of the learning target without hedging language or positioning it as incomplete.,False,No attempt to communicate about emotions.,Uses basic emotion words with support but communication lacks accuracy or sensitivity.,Communicates about emotions using appropriate vocabulary but with occasional inaccuracies or insensitive phrasing.,Independently communicates about emotions using accurate vocabulary and demonstrates sensitivity to context and audience needs.,Adapts emotional communication skillfully across diverse contexts and supports others' emotional expression.,cluster_18_lt_02 [ontological_prerequisite/high] Cannot communicate accurately about emotions without understanding what mental health and wellbeing concepts mean.,
cluster_18: Emotional Wellbeing and Mental Health Literacy,cluster_18_lt_02,Understanding Mental Health and Wellbeing,Type 1,stable,PASS,,pass,The descriptor clearly states the learner can independently perform the required capabilities without hedging language or positioning it as incomplete.,False,No attempt to distinguish feelings from conditions.,"With support, identifies some feelings but confuses normal emotions with mental health conditions.",Distinguishes basic feelings from conditions but identifies limited factors affecting mental wellbeing independently.,Independently distinguishes between normal feelings and mental health conditions and identifies multiple factors that affect mental wellbeing.,Applies understanding to analyse complex emotional situations and evaluates interconnected wellbeing factors.,cluster_18_lt_01 [ontological_prerequisite/high] Accurate emotional vocabulary is essential for distinguishing feelings from mental health conditions.,
cluster_19: Substance Use and Mental Health,cluster_19_lt_01,Gambling Mental Health Impacts,Type 1,rubric_unstable,PASS,,pass,The descriptor declares the capability as demonstrated independently at the learning target's level of demand without hedging language or positioning it as incomplete.,False,No attempt to identify gambling mental health impacts.,"With support, names some gambling harms but explanations are inaccurate or incomplete.",Independently identifies basic gambling mental health harms but struggles to explain risk variations.,Independently identifies mental health harms caused by gambling and explains how different gambling products pose varying risk levels.,Analyses complex gambling-mental health relationships and evaluates intervention strategies for different risk contexts.,cluster_18_lt_02 [ontological_prerequisite/high] Understanding mental health conditions is necessary to identify gambling's mental health impacts.,
cluster_19: Substance Use and Mental Health,cluster_19_lt_02,Substance Use Mental Health Relationships,Type 1,rubric_unstable,FAIL,single_construct,pass,The descriptor declares the capability as demonstrated independently and stands alone as evidence that the learning target is met.,False,No attempt to explain substance use and mental health connections.,"With support, identifies some connections but explanations are incomplete or inaccurate.",Explains connections in one direction but struggles to demonstrate bidirectional relationships consistently.,"Independently explains how alcohol, drugs, and smoking both influence and are influenced by mental health outcomes.",Applies bidirectional understanding to analyse complex scenarios or intervention strategies effectively.,cluster_18_lt_02 [ontological_prerequisite/high] Understanding mental health conditions is essential to explain their relationships with substances.; cluster_22_lt_01 [ontological_prerequisite/high] Knowledge of substance risks provides the foundation for understanding mental health connections.,
cluster_20: Digital Wellbeing and Online Harms,cluster_20_lt_01,Understanding Digital Wellbeing Impacts,Type 1,rubric_unstable,PASS,,pass,"The descriptor declares the capability as demonstrated with accurate connections and reasoning, standing alone as evidence the learning target is met.",False,No attempt to explain digital wellbeing impacts.,"With support, identifies some online effects but explanations are incomplete or inaccurate.",Explains some connections between online activities and wellbeing but misses key relationships or lacks depth.,"Explains how online behaviours, content, and relationships affect mental and physical wellbeing with accurate connections and reasoning.",Explains wellbeing impacts comprehensively and connects multiple digital factors to broader health outcomes.,cluster_18_lt_02 [ontological_prerequisite/high] Understanding mental health and wellbeing concepts is essential to explain how digital factors affect them.,
cluster_20: Digital Wellbeing and Online Harms,cluster_20_lt_03,Responding to Online Harms,Type 2,rubric_unstable,PASS,,pass,The descriptor declares the capability as demonstrated independently and can stand alone as evidence that the learning target is met.,False,No attempt to identify reporting or support mechanisms.,"With support, identifies some reporting options but shows confusion about appropriate mechanisms.",Independently identifies basic reporting mechanisms but struggles to match appropriate responses to specific harms.,Independently identifies appropriate reporting and support mechanisms that match the specific harmful content or behaviours encountered online.,Evaluates multiple reporting options and selects optimal mechanisms while considering context and severity factors.,cluster_08_lt_02 [ontological_prerequisite/high] Must understand what constitutes harmful online content before identifying appropriate responses.; cluster_08_lt_03 [pedagogical_sequencing/medium] Basic knowledge of support sources typically precedes applying specific reporting mechanisms.; cluster_12_lt_02 [pedagogical_sequencing/medium] General help-seeking skills provide foundation for specific online reporting procedures.,
cluster_21: Nutrition and Diet-Related Health,cluster_21_lt_01,Identifying Diet-Health Connections,Type 1,stable,PASS,,pass,The descriptor clearly states the learner independently demonstrates the capability at the target level without hedging language or positioning it as incomplete.,False,No attempt to identify diet-health connections.,"With support, names some dietary choices but makes inaccurate health connections.",Independently identifies basic diet-health links but misses specific disease connections or mechanisms.,"Independently identifies specific connections between poor dietary choices and tooth decay, weight gain, and cardiovascular disease.",Connects dietary choices to additional health risks and explains underlying biological mechanisms.,cluster_21_lt_02 [pedagogical_sequencing/medium] Understanding weight-related health consequences supports identifying diet-health connections.,
cluster_21: Nutrition and Diet-Related Health,cluster_21_lt_02,Recognizing Weight-Related Health Risks,Type 1,rubric_unstable,PASS,,pass,"The descriptor clearly states the learner independently recognizes the specific health consequences mentioned in the learning target, demonstrating complete achievement without hedging language.",False,No attempt to identify weight-related health consequences.,"With support, names some weight-related health risks but demonstrates inaccurate understanding.",Independently identifies some serious health consequences of unhealthy weight gain but misses key conditions.,"Independently recognizes cancer, type 2 diabetes, and cardiovascular disease as serious health consequences of unhealthy weight gain.",Explains mechanisms linking unhealthy weight gain to multiple serious health conditions including additional risks.,cluster_21_lt_01 [pedagogical_sequencing/medium] Understanding diet-health connections provides foundation for recognizing weight-related health risks.,
"cluster_22: Drugs, Alcohol and Tobacco",cluster_22_lt_01,Understanding Substance Risks and Harms,Type 1,rubric_unstable,PASS,,pass,The descriptor declares the capability as fully demonstrated with 'independently identifies comprehensive health risks and legal consequences...accurately' without any hedging language or positioning it as incomplete.,False,No attempt to identify substance risks or consequences.,"With support, names some health risks but provides inaccurate or incomplete information.",Independently identifies basic health risks and legal consequences but misses important details or connections.,"Independently identifies comprehensive health risks and legal consequences of illegal drugs, alcohol consumption, smoking, and vaping accurately.",Connects substance risks to broader health patterns and compares consequences across different substance categories.,cluster_19_lt_02 [ontological_prerequisite/high] Understanding substance-mental health relationships is essential for identifying comprehensive substance risks.,
"cluster_22: Drugs, Alcohol and Tobacco",cluster_22_lt_02,Applying Safety Strategies and Support Access,Type 1,stable,PASS,,pass,The descriptor directly states the learner can explain and describe the required capabilities without hedging language or positioning it as incomplete.,False,No attempt to explain safety strategies or support access.,"With support, identifies some safety strategies but explanations are incomplete or inaccurate.",Explains basic safety strategies and identifies some support sources but lacks detail or accuracy.,Explains personal safety strategies for alcohol consumption and describes how to access support for substance-related issues.,Applies safety strategies to varied scenarios and evaluates effectiveness of different support options.,cluster_22_lt_01 [ontological_prerequisite/high] Must understand substance risks before developing safety strategies.; cluster_12_lt_02 [pedagogical_sequencing/medium] General help-seeking skills typically precede substance-specific support access.,
cluster_23: Health Maintenance and Prevention,cluster_23_lt_01,Infection Prevention and Medical Interventions,Type 1,stable,PASS,,pass,"The descriptor declares the capability as demonstrated independently and accurately, standing alone as evidence that the learning target is met.",False,No attempt to explain infection prevention or medical interventions.,"With support, identifies some infection prevention methods but explanations are incomplete or inaccurate.",Independently explains basic infection prevention methods but struggles with antibiotic use or vaccination concepts.,"Independently explains infection prevention methods, antibiotic use, vaccination benefits, and screening importance accurately and clearly.",Connects infection prevention concepts to public health outcomes or evaluates effectiveness of different approaches.,cluster_24_lt_01 [pedagogical_sequencing/medium] Understanding healthcare services helps contextualize where medical interventions are accessed.,
cluster_23: Health Maintenance and Prevention,cluster_23_lt_02,Personal Health Maintenance Practices,Type 1,stable,PASS,,pass,"The descriptor declares the capability as demonstrated independently and comprehensively, standing alone as evidence that the learning target is met.",False,No attempt to describe health maintenance practices.,"With support, names some dental, sleep, or reproductive health practices inaccurately.","Independently describes some dental hygiene, sleep hygiene, or reproductive health practices with gaps.","Independently describes dental hygiene practices, sleep hygiene requirements, and reproductive health considerations accurately and comprehensively.",Connects health maintenance practices to broader wellbeing outcomes or explains underlying mechanisms.,cluster_27_lt_01 [ontological_prerequisite/high] Understanding reproductive health conditions is necessary to describe reproductive health considerations.,
cluster_24: Accessing Healthcare Services,cluster_24_lt_01,Identifying Healthcare Service Options,Type 1,rubric_unstable,PASS,,pass,"The descriptor clearly states the learner independently demonstrates the capability and accurately explains access methods, indicating full achievement of the learning target.",False,No attempt to identify healthcare services or access methods.,"With support, names some healthcare services but provides inaccurate or incomplete access information.",Independently identifies basic healthcare services but struggles to explain access methods for different situations.,Independently identifies appropriate healthcare services for different situations and accurately explains how to access them.,Transfers healthcare service knowledge to complex scenarios and evaluates service appropriateness comprehensively.,cluster_12_lt_02 [pedagogical_sequencing/medium] Understanding help-seeking builds foundation for accessing healthcare services.; cluster_17_lt_02 [ontological_prerequisite/high] Sexual health service access is a specific subset of general healthcare service access.,
cluster_24: Accessing Healthcare Services,cluster_24_lt_02,Understanding Medical Consent and Capacity,Type 1,stable,PASS,,pass,"The descriptor declares the capability as demonstrated accurately and independently, standing alone as evidence the learning target is met.",False,No attempt to explain medical consent frameworks.,"With support, identifies some consent concepts but explanations are inaccurate or incomplete.",Explains basic consent principles but gaps remain in understanding legal frameworks for capacity.,Explains legal frameworks governing medical consent for minors and adults with capacity issues accurately and independently.,Applies consent frameworks to complex scenarios or connects to broader healthcare ethics principles.,cluster_24_lt_01 [pedagogical_sequencing/medium] Understanding healthcare service options typically precedes learning specific consent frameworks.; cluster_16_lt_01 [ontological_prerequisite/high] Understanding general consent principles is essential before learning medical-specific consent frameworks.,
cluster_25: Managing Personal Safety and Risk,cluster_25_lt_01,Identifying and Managing Environmental Risks,Type 2,rubric_unstable,FAIL,observable_verb,pass,The descriptor clearly states the learner independently and consistently demonstrates the full capability described in the learning target without any hedging language or implications of incompleteness.,False,No attempt to identify risks or safety strategies.,"With support, identifies obvious risks but applies safety strategies inaccurately or incompletely.",Independently identifies common risks and applies basic safety strategies but misses subtle dangers or complex situations.,Independently identifies potential risks in independent situations and applies appropriate safety strategies effectively and consistently.,Transfers risk assessment skills to novel contexts and integrates multiple safety strategies fluently across situations.,cluster_12_lt_01 [ontological_prerequisite/high] Cannot assess environmental risks without ability to evaluate trustworthiness and safety.; cluster_12_lt_02 [pedagogical_sequencing/medium] Understanding help-seeking supports applying safety strategies when risks are identified.,
cluster_25: Managing Personal Safety and Risk,cluster_25_lt_02,Managing Peer Influence and Social Pressures,Type 2,rubric_unstable,FAIL,observable_verb,pass,The descriptor declares the capability as demonstrated independently at the learning target's level of demand without hedging language or positioning it as incomplete.,False,No attempt to recognise peer influence or pressure.,"With support, identifies some peer pressure but applies strategies inconsistently or inaccurately.",Recognises peer influence in familiar situations but struggles to apply effective management strategies independently.,Independently recognises peer influence and pressure in risk-taking situations and applies effective strategies to manage them.,Transfers peer pressure management skills to novel contexts and helps others develop similar capabilities.,cluster_25_lt_01 [pedagogical_sequencing/medium] General risk identification skills provide foundation for recognising peer pressure risks.; cluster_12_lt_01 [ontological_prerequisite/high] Cannot manage peer pressure without ability to evaluate trustworthiness and safety of situations.,
cluster_25: Managing Personal Safety and Risk,cluster_25_lt_03,Decision-Making in Conflict Situations,Type 2,stable,FAIL,observable_verb,pass,The descriptor declares the capability as demonstrated independently at the learning target's level of demand without hedging language or positioning it as incomplete.,False,No attempt to apply decision-making in conflict situations.,"With support, identifies some conflict elements but applies inappropriate or ineffective responses.",Independently recognises conflict situations and applies basic decision-making but lacks consistent self-awareness integration.,Independently applies self-awareness and relationship skills to make responsible decisions when facing conflict situations.,Transfers conflict decision-making skills to complex situations and helps others navigate similar challenges.,cluster_03_lt_02 [ontological_prerequisite/high] Cannot apply relationship skills in conflict without basic respectful communication abilities.; cluster_18_lt_01 [ontological_prerequisite/high] Self-awareness in decision-making requires ability to communicate about emotions accurately.; cluster_25_lt_02 [pedagogical_sequencing/medium] Managing peer pressure provides foundation for handling interpersonal conflict dynamics.,
"cluster_26: Weapons, Exploitation and Seeking Help",cluster_26_lt_02,Seeking Help for Exploitation Concerns,Type 2,stable,PASS,,pass,The descriptor clearly states the learner 'independently identifies appropriate help sources' which demonstrates the capability is fully met without hedging language or positioning it as incomplete.,False,No attempt to identify help sources for exploitation concerns.,"With support, names some help sources but shows confusion about appropriateness.",Independently identifies basic help sources but struggles with matching sources to specific exploitation situations.,"Independently identifies appropriate help sources for different grooming and exploitation concerns including trusted adults, services, and reporting mechanisms.",Evaluates multiple help sources and explains optimal pathways for different exploitation scenarios.,cluster_14_lt_02 [ontological_prerequisite/high] Must understand what exploitation is before identifying help sources for it.; cluster_12_lt_02 [pedagogical_sequencing/medium] General help-seeking skills typically established before specific exploitation contexts.,
cluster_27: Reproductive Health and First Aid Knowledge,cluster_27_lt_01,Understanding Reproductive Health Conditions,Type 1,rubric_unstable,FAIL,observable_verb,pass,"The descriptor declares the capability as demonstrated independently and accurately, standing alone as evidence that the learning target is met.",False,No attempt to identify reproductive health conditions.,"With support, names some menstrual or reproductive health terms inaccurately.",Identifies basic menstrual problems but explains reproductive health factors with gaps.,Independently identifies menstrual health problems and explains reproductive health factors accurately across the lifespan.,Connects reproductive health factors to broader health outcomes and prevention strategies.,cluster_23_lt_02 [ontological_prerequisite/high] Understanding reproductive health considerations is foundational to identifying specific reproductive health problems.,
cluster_27: Reproductive Health and First Aid Knowledge,cluster_27_lt_02,Applying First Aid Skills,Type 1,rubric_unstable,FAIL,observable_verb,pass,"The descriptor declares the capability as fully demonstrated independently and accurately, meeting the learning target without hedging language or positioning it as incomplete.",False,No attempt to demonstrate first aid techniques.,"With heavy support, attempts basic first aid steps but demonstrates inaccurate or incomplete techniques.",Independently demonstrates some first aid techniques correctly but shows gaps in CPR or emergency response procedures.,Independently demonstrates age-appropriate first aid techniques including cardiopulmonary resuscitation accurately and effectively in emergency scenarios.,Transfers first aid skills to complex scenarios and adapts techniques for different age groups or situations.,cluster_24_lt_01 [pedagogical_sequencing/medium] Understanding healthcare services helps contextualize when first aid is appropriate versus professional medical care.,
cluster_04: Addressing Bullying and Relationship Endings,cluster_04_lt_01,Recognising and Responding to Bullying,Type 1,rubric_unreliable,FAIL,rubric_generation_failed,error,only 1/3 runs produced parseable output,False,,,,,,,
cluster_07: Managing Digital Content and Image Sharing,cluster_07_lt_02,Responding to Digital Content Issues,Type 2,rubric_unreliable,FAIL,rubric_generation_failed,error,"no structural signature reached 2/3 agreement; signatures=[(('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'recognise'), ('extending', 'within_limit', 'apply'), ('competent_scope', 'unscoped')), (('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'recognise'), ('extending', 'within_limit', 'none'), ('competent_scope', 'unscoped')), (('no_evidence', 'within_limit', 'none'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'recognise'), ('extending', 'within_limit', 'none'), ('competent_scope', 'unscoped'))]",False,,,,,,,
cluster_11: Consent and Boundaries in Relationships,cluster_11_lt_01,Recognising and Communicating Consent and Boundaries,Type 2,rubric_unreliable,FAIL,rubric_generation_failed,error,"no structural signature reached 2/3 agreement; signatures=[(('no_evidence', 'within_limit', 'apply'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'recognise'), ('extending', 'within_limit', 'apply'), ('competent_scope', 'scoped')), (('no_evidence', 'within_limit', 'apply'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'recognise'), ('extending', 'within_limit', 'none'), ('competent_scope', 'scoped')), (('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'recognise'), ('extending', 'within_limit', 'none'), ('competent_scope', 'scoped'))]",False,,,,,,,
cluster_13: Understanding Sexual Harassment and Violence,cluster_13_lt_01,Identifying Sexual Harassment and Violence,Type 1,rubric_unreliable,FAIL,rubric_generation_failed,error,"no structural signature reached 2/3 agreement; signatures=[(('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'recognise'), ('extending', 'within_limit', 'analyse'), ('competent_scope', 'scoped')), (('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'recognise'), ('extending', 'within_limit', 'apply'), ('competent_scope', 'scoped')), (('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'recognise'), ('extending', 'within_limit', 'recognise'), ('competent_scope', 'scoped'))]",False,,,,,,,
cluster_20: Digital Wellbeing and Online Harms,cluster_20_lt_02,Evaluating Digital Information and Content,Type 2,rubric_unreliable,FAIL,rubric_generation_failed,error,"no structural signature reached 2/3 agreement; signatures=[(('no_evidence', 'within_limit', 'none'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'apply'), ('competent', 'within_limit', 'evaluate'), ('extending', 'within_limit', 'none'), ('competent_scope', 'unscoped')), (('no_evidence', 'within_limit', 'none'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'evaluate'), ('extending', 'within_limit', 'describe'), ('competent_scope', 'scoped')), (('no_evidence', 'within_limit', 'none'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'apply'), ('competent', 'within_limit', 'evaluate'), ('extending', 'within_limit', 'none'), ('competent_scope', 'scoped'))]",False,,,,,,,
"cluster_26: Weapons, Exploitation and Seeking Help",cluster_26_lt_01,Understanding Weapon Carrying Misconceptions,Type 1,rubric_unreliable,FAIL,rubric_generation_failed,error,"no structural signature reached 2/3 agreement; signatures=[(('no_evidence', 'within_limit', 'none'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'describe'), ('competent_scope', 'unscoped')), (('no_evidence', 'within_limit', 'none'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'analyse'), ('competent_scope', 'unscoped')), (('no_evidence', 'within_limit', 'none'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'apply'), ('competent_scope', 'unscoped'))]",False,,,,,,,
