competency_cluster,lt_id,lt_name,stability,coconstruction_stages,coconstruction_student_prompts,coconstruction_anchor_examples_guidance,student_rubric_no_evidence,student_rubric_emerging,student_rubric_developing,student_rubric_competent,student_rubric_extending,student_rubric_self_checks,feedback_moves_no_evidence,feedback_moves_emerging,feedback_moves_developing,feedback_moves_competent
"cluster_01: Marriage, Civil Partnership, and Family Structures",cluster_01_lt_01,Legal Status of Relationships,supporting_unstable,Students brainstorm what they know about different types of relationships and their legal status.; Teacher introduces the three relationship types and students discuss what legal differences might exist.; Students work in groups to research and identify specific rights and protections for each relationship type.; Class creates shared understanding of legal distinctions through guided discussion.; Students help refine language for each rubric level based on their learning.,What different types of legal relationships do you know about?; What legal rights or protections might be different between these relationship types?; How would you explain these differences to someone who doesn't know about them?; What would it look like to go beyond just explaining the basics?,Select student work samples that clearly show progression from basic identification to complete explanations with accurate legal distinctions.,I have not yet attempted to explain legal relationship differences.,I can identify some relationship types but I confuse their legal distinctions.,I can name relationship types but my explanations of legal differences are incomplete or inaccurate.,"I can explain the legal differences between marriage, civil partnership, and cohabitation including their respective rights and protections.",I can compare legal frameworks across jurisdictions or analyse implications for specific scenarios.,Can I clearly explain what makes each relationship type legally different?; Have I included the specific rights and protections for each type?,Provide a simple comparison chart showing the three relationship types.; Ask the student to identify which type of relationship they are most familiar with.,Help the student focus on one clear legal difference between two relationship types.; Provide specific examples of rights that differ between relationship types.,Guide the student to check their explanations against reliable legal sources.; Ask the student to identify which rights and protections they may have missed.,Challenge the student to consider how these laws might differ in other countries.; Encourage the student to apply their knowledge to real-world scenarios or case studies.
"cluster_01: Marriage, Civil Partnership, and Family Structures",cluster_01_lt_02,Family Dynamics and Parenting,supporting_unstable,Students brainstorm ways families can change over time through discussion and personal reflection.; Students identify what makes parenting successful by examining different parenting scenarios.; Students connect parenting characteristics to early childhood development through guided exploration.; Students organize their ideas into performance levels from basic to advanced understanding.,What are different ways families might change as time goes on?; What do you think makes someone a successful parent?; How do parenting choices affect young children's growth and development?; What would it look like to understand these topics really well versus just starting to learn?,Select examples that show clear differences between basic family change descriptions and detailed parenting-development connections across various family structures.,I have not yet described how families change or identified parenting characteristics.,I can identify some family changes or parenting features with help but my understanding is incomplete.,I can describe basic family changes and some parenting characteristics but miss connections to development.,I can describe how families change over time and identify successful parenting characteristics including early childhood development connections.,I can analyze complex family transitions and evaluate parenting approaches across diverse family structures and developmental stages.,Can I explain both how families change AND what makes parenting successful?; Have I connected parenting characteristics to early childhood development?,Provide sentence starters about family changes or parenting qualities.; Use visual prompts showing different family situations to spark initial thinking.,Guide students to elaborate on their initial ideas with specific examples.; Ask clarifying questions to help students express their thinking more completely.,Prompt students to connect their parenting ideas to how children grow and develop.; Encourage students to add more detail about the family changes they described.,Challenge students to consider how parenting might differ across various family types.; Ask students to analyze more complex family transitions beyond basic changes.
cluster_03: Respectful Relationships and Self-Worth,cluster_03_lt_01,Understanding Equality and Self-Worth,stable,Brainstorm what equality means in relationships and daily life; Discuss legal rights and responsibilities students already know; Explore connections between feeling good about yourself and healthy relationships; Create success criteria for explaining both concepts clearly,What does it mean when people are treated equally?; How does feeling confident about yourself affect your relationships?; What would a strong explanation of equality and self-worth include?,"Select student work that shows clear progression from basic identification of concepts to sophisticated connections between equality, self-esteem, and relationship health.",I have not yet attempted to explain equality rights or self-esteem,I can identify some equality concepts with help but my explanations need work,I can explain basic equality rights on my own but struggle to connect self-esteem to healthy relationships,I can independently explain legal equality rights and responsibilities and describe how self-esteem supports healthy relationships,I can connect equality principles and self-worth to broader relationship dynamics and personal development strategies,Can I explain both equality rights and self-esteem clearly without help?; Have I shown how self-esteem connects to healthy relationships?,Provide sentence starters about equality or self-esteem; Offer visual organizers to structure thinking about rights and relationships,Guide students to complete partial explanations with specific prompts; Provide examples of clear explanations to model structure,Ask probing questions about how self-esteem affects relationship choices; Provide scenarios to practice connecting concepts,Challenge students to consider broader applications of equality and self-worth; Encourage exploration of personal development strategies
cluster_03: Respectful Relationships and Self-Worth,cluster_03_lt_02,Respectful Communication Skills,supporting_unstable,Students brainstorm what respectful communication looks and sounds like in daily interactions.; Students identify specific challenges that make respectful communication harder during conflicts.; Students develop criteria for what makes communication respectful versus disrespectful.; Students create levels from basic attempts to advanced application of respectful communication strategies.,What does respectful communication look like when you disagree with someone?; How do you know if your communication is being respectful or not?; What makes respectful communication harder in some situations than others?; How could someone who is really good at this help others improve?,Choose examples that show clear differences between respectful and disrespectful communication across various relationship contexts and conflict intensities.,I have not yet attempted to use respectful communication strategies.,I can try basic respectful communication with help but am not consistent.,I can communicate respectfully in familiar situations but struggle during conflicts.,I can independently use communication strategies that show respect in relationships and conflicts.,I can apply respectful communication in new situations and help others develop these skills.,Did I use words and tone that showed respect for the other person?; How well did I handle disagreement or conflict while staying respectful?,Model specific respectful communication phrases and have student practice repeating them.; Provide sentence starters for respectful responses in common situations.,Point out moments when student used respectful communication successfully.; Practice respectful communication strategies through role-play with immediate feedback.,Help student identify what makes conflict situations more challenging for respectful communication.; Practice applying familiar respectful communication strategies to conflict scenarios.,Challenge student to use respectful communication in unfamiliar or complex social situations.; Have student reflect on how they could teach respectful communication strategies to others.
cluster_04: Addressing Bullying and Ending Relationships,cluster_04_lt_01,Recognising Bullying and Seeking Help,stable,Students share experiences or observations of different behaviors to build a shared understanding.; Students categorize behaviors into bullying and non-bullying groups with teacher facilitation.; Students discuss the effects of bullying on individuals and communities.; Students brainstorm and organize help-seeking options from informal to formal support.; Students review and refine the complete rubric levels together.,What behaviors have you seen that made someone feel unsafe or upset repeatedly?; How do different types of bullying affect people differently?; Who are the trusted adults and resources you could turn to for help?; What would quality work look like at each level of understanding?,Select scenarios that clearly demonstrate different bullying types and varying levels of student response quality. Choose examples that show progression from basic identification to complex situation analysis.,I have not yet attempted to identify bullying or describe how to get help.,I can name some types of bullying with support but my explanations need improvement.,I can identify basic bullying types and their impact but need help with comprehensive help-seeking strategies.,"I can identify different types of bullying, explain their impact accurately, and describe appropriate ways to get help.",I can apply bullying recognition skills to complex situations and evaluate multiple intervention strategies effectively.,Can I clearly explain what makes something bullying versus conflict or teasing?; Do I know multiple specific people and resources I could contact for help?,Provide concrete examples of bullying scenarios to analyze together.; Guide student through identifying one clear type of bullying behavior.,Ask student to explain their thinking about why certain behaviors count as bullying.; Provide specific examples to help student distinguish between bullying types.,Challenge student to identify additional help-seeking resources beyond their initial responses.; Ask student to explain the connection between bullying type and appropriate intervention.,Present complex scenarios that require applying bullying concepts to new situations.; Ask student to evaluate the effectiveness of different intervention approaches.
"cluster_05: Stereotypes, Prejudice, and Power Dynamics",cluster_05_lt_01,Understanding Stereotypes and Power Imbalances,stable,Students share examples of stereotypes they've encountered or heard about.; Class discusses what makes stereotypes harmful and how they affect people.; Students explore how power differences make stereotypes more damaging.; Groups identify how stereotypes can make harmful behaviors seem normal or acceptable.,What stereotypes have you noticed about different groups of people?; How might having more power make someone's stereotypes more harmful to others?; When do stereotypes make unfair treatment seem normal or okay?,Choose examples that show clear progression from basic stereotype identification to sophisticated analysis of power dynamics and systemic harm.,I have not yet attempted to explain stereotypes or power dynamics.,I can identify some stereotypes with help but my explanations are incomplete.,I can explain basic stereotype concepts but struggle to connect power inequalities to relationship damage.,I can explain how stereotypes and power inequalities damage relationships and normalise harmful behaviours.,"I can analyse complex interactions between stereotypes, power dynamics, and systemic relationship harms across different contexts.",Can I clearly explain what stereotypes are and how they harm relationships?; Have I connected power differences to how stereotypes cause damage?,Provide concrete examples of common stereotypes to build foundational understanding.; Use guided questions to help identify stereotypes in familiar contexts.,Support with sentence starters to structure explanations about stereotype impacts.; Provide specific examples showing how stereotypes affect relationships.,Guide connections between power differences and stereotype harm through questioning.; Use scenarios to demonstrate how power makes stereotypes more damaging.,Challenge to examine stereotype impacts across different social contexts.; Prompt analysis of how systems maintain harmful stereotypes and power imbalances.
cluster_06: Online Safety and Privacy,cluster_06_lt_03,Maintaining Appropriate Online Behaviour,supporting_unstable,Students brainstorm what good behaviour looks like in different offline settings; Students identify similar expectations in online spaces they use; Students compare and find connections between online and offline behavioural expectations; Students create explanations for why expectations should be consistent across contexts,What does respectful behaviour look like in our classroom versus at home?; How do these same expectations apply when we communicate online?; Why should our behaviour standards be the same whether we're face-to-face or digital?,Select student work that shows clear progression from basic rule identification to sophisticated explanations of consistent expectations across contexts.,I have not yet attempted to explain online behavioural expectations.,I can identify some basic online rules with help but my explanations need work.,I can identify online behavioural expectations on my own but struggle to connect them with offline behaviour.,I can explain how behavioural expectations apply consistently in both online and offline situations with clear reasoning.,I can apply my understanding to new digital situations and explain complex applications of consistent behavioural expectations.,Can I explain why the same behaviour rules apply both online and offline?; Do my explanations include clear reasoning and connections between different contexts?,Provide examples of basic online rules to get started; Ask what good behaviour looks like in familiar offline settings,Guide student to elaborate on incomplete explanations; Provide sentence starters for connecting online rules to reasons,Prompt student to compare specific online and offline situations; Ask how offline expectations might apply to digital interactions,Challenge student to consider new or unfamiliar digital platforms; Ask how behavioural expectations might apply in complex online scenarios
cluster_07: Sharing Images and Legal Consequences,cluster_07_lt_01,Understanding Legal Risks of Image Sharing,supporting_unstable,Brainstorm what students already know about online image sharing risks; Discuss what makes something a 'legal consequence' versus other types of consequences; Categorize different types of legal risks and their severity; Refine understanding of what makes an explanation 'comprehensive' versus 'incomplete',What risks do you think exist when people share intimate images online?; How would you know if your explanation covers all the important legal consequences?; What would make one explanation more complete than another?,Select student explanations that show clear differences in accuracy and completeness of legal consequences identified.,I have not yet attempted to explain legal consequences of image sharing,I can identify some risks with help but my explanations need work,I can identify legal risks on my own but my explanations need more detail,I can accurately and completely explain the legal consequences and serious risks of sharing intimate images online,I can apply my understanding to analyze complex scenarios or connect to broader legal frameworks,Have I explained both the legal consequences and the serious risks?; Is my explanation accurate and complete enough that someone else would understand the full picture?,Provide a simple scenario to help student begin thinking about consequences; Ask what they think might happen legally when intimate images are shared,Guide student to verify accuracy of their identified risks; Help student add missing legal consequences they haven't considered,Prompt student to elaborate on consequences they've identified; Ask student to check if they've covered all major legal risks,Challenge student to apply their understanding to a new complex scenario; Encourage student to explore connections to broader legal principles
cluster_07: Sharing Images and Legal Consequences,cluster_07_lt_02,Responding to Image Sharing Concerns,supporting_unstable,Students share what they already know about image sharing concerns and potential problems; Class brainstorms what makes a response appropriate versus inappropriate when seeing concerning material; Students discuss who they could report to and what information would be needed; Groups create action steps for different scenarios and share with class; Class refines understanding of when and how to help others with similar concerns,What concerns might you have about images being shared online or in messages?; Who could you talk to if you saw something that worried you?; What would make one response better than another in these situations?; How would you know if your action plan was working?,Choose scenarios that represent clear progression from simple recognition to complex decision-making across different contexts and severity levels.,I have not yet shown I can identify appropriate responses to image sharing concerns,I can recognise some concerns with help but my suggested responses need improvement,I can identify image sharing concerns on my own but sometimes miss important actions or reporting steps,I can determine appropriate actions and identify correct reporting procedures when concerned about circulated material,I can apply response strategies to new situations and help others understand appropriate actions and reporting procedures,Can I explain what actions I would take and who I would report to?; Would my response help solve the problem and keep people safe?,Guide student to identify one specific concern about shared images; Provide sentence starters for describing what they notice,Help student evaluate why their suggested response might not work; Model thinking through consequences of different actions,Prompt student to identify missing steps in their action plan; Ask student to consider who else might need to be involved,Challenge student to apply their approach to a different type of scenario; Ask student to explain their reasoning to help teach others
"cluster_08: Deepfakes, Harmful Content, and Online Harms",cluster_08_lt_01,Identifying Deepfakes and Harmful Content,stable,Introduce the concept of deepfakes and harmful content through discussion of what students already know.; Examine obvious examples together to identify clear warning signs and red flags.; Explore more subtle examples to develop criteria for sophisticated detection.; Create shared language for different levels of identification skills.; Finalize rubric levels based on student input and examples discussed.,What makes you suspicious that online content might be fake or harmful?; How can you tell the difference between obvious fakes and more convincing ones?; What techniques do you use when you're unsure if content is authentic?; How would you describe someone who is really skilled at spotting deepfakes?,"Select a range of deepfake and harmful content examples from obviously manipulated to highly sophisticated, ensuring examples represent different manipulation techniques and content types.",I have not yet attempted to identify deepfakes or harmful content.,I can recognise some obvious fake content with support but miss subtle manipulations.,I can independently identify clear deepfakes and harmful content but struggle with sophisticated examples.,I can independently identify deepfakes and recognise various forms of harmful online content including illegal material and distorted representations.,I can identify sophisticated deepfakes and analyse manipulation techniques used in harmful content creation.,Can I spot warning signs in content that others might miss?; Do I understand the different techniques used to create fake or harmful content?,Provide guided practice with obviously fake examples.; Teach basic warning signs to look for in suspicious content.,Practice with moderately difficult examples without support.; Focus on developing independence in applying detection strategies.,Expose to sophisticated deepfakes and manipulation techniques.; Teach advanced detection methods and technical indicators.,Challenge with cutting-edge deepfake technology examples.; Develop skills in analysing creation methods and manipulation techniques.
"cluster_08: Deepfakes, Harmful Content, and Online Harms",cluster_08_lt_03,Seeking Support for Online Concerns,stable,Students share experiences of feeling unsure or worried online without naming specific incidents.; Class brainstorms who they might turn to when something online feels wrong or scary.; Students categorize different types of online concerns and match them to appropriate support sources.; Class creates criteria for what makes a support source trustworthy and accessible.,When have you felt confused or uncomfortable about something you saw online?; Who are the trusted adults or resources you could talk to about online problems?; What makes someone a good person to ask for help with online issues?,Choose scenarios that represent common online concerns students face while avoiding graphic details or triggering content.,I have not yet identified any sources of support for online concerns.,I can name some people who might help with online problems but my choices may not always be the best ones.,I can identify several appropriate people or resources to help with online concerns but sometimes miss important options.,I can identify appropriate sources of advice and support when encountering concerning online content or experiences.,I can apply my support-seeking skills to new online situations and help others find appropriate support.,Can I name at least three different trusted sources I could turn to for help with online problems?; Do I know when to choose different types of support for different online concerns?,Guide student to think of one trusted adult they could talk to about problems.; Provide a simple list of school or community support resources to review together.,Help student evaluate why certain support choices might be more helpful than others.; Practice matching different types of online concerns to appropriate support sources.,Encourage student to consider additional support options they may have overlooked.; Discuss when different contexts might require different types of support.,Challenge student to consider how their support-seeking approach might work in unfamiliar online situations.; Invite student to help a peer think through their own support options.
"cluster_09: Online Scams, Data Privacy, and Emerging Technology Risks",cluster_09_lt_02,Evaluating and Responding to Digital Threats,supporting_unstable,Students share experiences with suspicious messages or apps they've encountered.; Class brainstorms what makes something seem trustworthy or risky online.; Students examine examples of scams and new technologies to identify warning signs.; Groups create criteria for evaluating digital threats at different skill levels.; Class refines criteria into a shared rubric for threat evaluation.,What red flags help you spot something suspicious online?; How do you decide if a new app or website is safe to use?; What would you tell a friend who received a suspicious message?; How might someone who's really good at this help others stay safe?,"Choose examples that show clear progression from obvious scams to subtle threats, including both familiar and emerging technologies that students can relate to.",I have not yet attempted to evaluate digital threats or scams.,I can identify obvious scams with help but struggle to evaluate new technology risks.,I can recognise common scams and basic technology risks but miss subtle threats.,I can evaluate new technologies for risks and respond appropriately to various scams.,I can anticipate risks in unfamiliar technologies and help others respond to threats.,Can I explain why something online seems risky or safe?; Would I know how to respond if I encountered a new type of scam?,Start by examining one clear example of an obvious scam together.; Practice identifying one simple warning sign in digital messages.,Compare obvious scams with more subtle ones to build pattern recognition.; Introduce basic questions for evaluating new apps or websites.,Analyze examples where initial impressions might be misleading.; Practice applying evaluation criteria to unfamiliar technologies or platforms.,Challenge thinking with novel scenarios that require transferring known principles.; Encourage explaining threat evaluation strategies to help others learn.
"cluster_10: Consent, Boundaries, and Pressure in Relationships",cluster_10_lt_02,Managing Relationship Pressure,supporting_unstable,Students share experiences of feeling pressured in relationships without naming specific people; Class brainstorms what pressure looks like and feels like in different relationship contexts; Students discuss what healthy responses to pressure might look like; Groups identify what it means to avoid putting pressure on others; Class agrees on criteria for recognising and managing relationship pressure effectively,When have you felt like someone wanted you to do something you weren't sure about?; What are the signs that someone might be feeling pressured by us?; How can we respond when we feel pressured while still maintaining good relationships?; What does it look like when someone handles pressure really well?,Choose scenarios that represent common relationship pressures students face while ensuring examples show clear differences between recognising obvious versus subtle pressure.,I have not yet shown that I can identify or respond to relationship pressure,I can recognise some pressure with help but my responses are not always appropriate,I can identify clear pressure situations on my own but struggle with subtle pressure or knowing how to respond,I can identify and resist different types of relationship pressure while avoiding pressuring others,I can use pressure management skills in new situations and help others recognise relationship pressure,Can I tell when someone is trying to pressure me and respond appropriately?; Do I avoid putting pressure on others in my relationships?,Help student identify one clear example of relationship pressure from their experience; Practice recognising pressure signals through role-play scenarios,Guide student to evaluate whether their response maintained the relationship appropriately; Provide sentence starters for declining pressure respectfully,Present scenarios with subtle pressure and ask student to identify the pressure signals; Practice multiple response strategies for complex pressure situations,Challenge student to apply their skills in unfamiliar relationship contexts; Ask student to coach a peer through a pressure situation
"cluster_10: Consent, Boundaries, and Pressure in Relationships",cluster_10_lt_03,Understanding Care Beyond Consent,supporting_unstable,Begin by asking students what they think 'consent' means in relationships and friendships.; Guide students to brainstorm what else might be important in caring relationships beyond just saying 'yes' or 'no'.; Have students discuss scenarios where consent exists but additional care considerations matter.; Support students in organizing their ideas into levels of understanding about care beyond consent.,What does it mean to truly care for someone in a relationship or friendship?; Can you think of a time when someone had permission to do something but it still wasn't the kindest choice?; What other things should we consider besides just getting consent when we want to care for others?,Choose examples that show clear distinctions between basic consent and deeper care considerations like emotional wellbeing and respect.,I have not yet attempted to explain care beyond consent.,I can identify that relationships involve more than consent with support.,I can explain that care involves more than consent with some reasoning.,"I can explain that kindness and care requires considering feelings, wellbeing, and respect beyond basic consent.",I can explain care beyond consent and connect this principle to broader ethical relationship frameworks.,Can I explain what care looks like beyond just getting permission?; Have I included examples of how feelings and wellbeing matter in caring relationships?,Provide sentence starters about what care means in relationships.; Ask the student to think about how they like to be treated by friends.,Help the student identify specific examples of care beyond permission.; Guide them to explain their thinking more clearly with prompting questions.,Encourage the student to provide more detailed reasoning for their examples.; Ask them to consider multiple aspects of care like feelings and wellbeing.,Challenge the student to connect their understanding to broader relationship principles.; Ask them to consider how this applies across different types of relationships.
